,actor_id,time_zone
1660,85372,6
1661,85389,-3
1662,85709,-5
1663,85732,-3
1664,85749,-4
1665,85767,-3
1666,85857,0
1667,85887,-8
1668,86010,-8
1669,86016,2
1670,86107,1
1671,86161,-2
1672,86243,-8
1673,86290,0
1674,86358,-6
1675,86403,-8
1676,86412,5
1677,86426,-4
1678,86515,-3
1679,86659,-5
1680,86747,3
1681,86760,-4
1682,86784,3
1683,86833,-1
1684,86834,5
1685,86842,-8
1686,86978,-8
1687,86995,6
1688,87088,-6
1689,87115,5
1690,87124,-4
1691,87168,-8
1692,87493,-8
1693,87524,-8
1694,87611,-8
1695,87619,6
1696,87649,-8
1697,87738,3
1698,87751,3
1699,87777,-8
1700,87843,-4
1701,87915,7
1702,87977,-8
1703,87983,-8
1704,88065,-5
1705,88096,-4
1706,88113,-3
1707,88302,-8
1708,88447,-2
1709,88600,-3
1710,88607,-3
1711,88731,-8
1712,88777,4
1713,88819,-8
1714,88840,-1
1715,88897,2
1716,88951,1
1717,88972,-8
1718,88981,-8
1719,89019,1
1720,89034,2
1721,89049,-8
1722,89055,-2
1723,89061,-3
1724,89133,-8
1725,89139,-8
1726,89175,-5
1727,89193,7
1728,89208,-2
